;Lane;Task;Verb;NounPhrases;Label;
7607;requester;Define demand;Define;demand;;
7608;requester;Inform requester;Inform;requester;;
7609;service technician;Install/implement good;Install;;;
7610;accountant;Enter into the ERP system;Enter into;ERP system;;
7611;accountant;Pay bill;Pay;bill;;
7612;CRM;check customer;check;customer;;
7613;CRM;create new customer data;create;new customer data;;
7614;SAP;check storage;check;storage;;
7615;SAP;product available;;product;;
7616;SAP;product not available;;product;;
7617;Production;product/order sent;sent;product|order;Starts with subject;
7618;Officer;Accept Credit;Accept;Credit;;
7619;Officer;Reject Credit;Reject;Credit;;
7620;Officer;Collect Credit Information;Collect;Credit Information;;
7621;Officer;Assess Risk;Assess;Risk;;
7622;Manager;Request Approval;;Request Approval;;
7623;Customer on 'Your weight loss partner' website.;From daily menu client selects food;selects;daily menu client|food;Starts with subject;
7624;Customer on 'Your weight loss partner' website.;Lunch;;Lunch;;
7625;Customer on 'Your weight loss partner' website.;Breakfast;;Breakfast;;
7626;Customer on 'Your weight loss partner' website.;Dinner;;Dinner;;
7627;Customer on 'Your weight loss partner' website.;Snacks;;Snacks;;
7628;Customer on 'Your weight loss partner' website.;Food options are gathered, menu is generated for each client based on address.;gathered;Food options|menu|client|address;Conjunctive clause;
7629;Customer on 'Your weight loss partner' website.;Invoice is generated and stored in client's profile.;generated;Invoice|client|profile;Conjunctive clause;
7630;Restaurant preparing and delivering food.;Restaurant receives Food orders.;receives;Restaurant|Food orders;Starts with subject;
7631;Restaurant preparing and delivering food.;Food is packed, for each package address is listed and Food delivery bus is stocked.;packed;Food|package address|Food delivery bus;Conjunctive clause;
7632;Restaurant preparing and delivering food.;Food is delivered.;delivered;Food;Starts with subject;
7633;Organization;Provide information to customer;Provide;information to customer;;
7634;Organization;Intake;;Intake;;
7635;Organization;Control and measurement;;Control|measurement;Conjunctive clause;
7636;Organization;go back for 2 week;go;week;;
7637;Organization;Reached target;Reached;target;;
7638;Customer;Request information of organization;;Request information of organization;;
7639;Customer;Appointment;;Appointment;;
7640;Customer;Potential client;;Potential client;;
7641;Customer;Dissatisfied or other reason;;other reason;Disjunctive clause;
7642;Customer;Make Appointment;Make;Appointment;;
7643;Organization;Intake proced.;;Intake proced;;
7644;Organization;measurem.;;measurem;;
7645;Organization;Return over 2 weeks;Return;weeks;;
7646;Customer;Request information of YWLP;;Request information of YWLP;;
7647;Customer;Not Potential client;;Potential client;;
7648;Customer;Dissatisfied client or;;Dissatisfied client;;
7649;patient activities;Patient befindet sich in Reichweite der Funkstation;;Patient befindet sich in Reichweite der Funkstation;;
7650;device;Defi misst Vitaldaten;;Defi misst Vitaldaten;;
7651;device;Defi funkt Vitaldaten über Funkstation;;Defi funkt Vitaldaten über Funkstation;;
7652;Customer;Review The Vendors and Suppliers;Review;Vendors|Suppliers;Conjunctive clause;
7653;Customer;Provide more information;Provide;more information;;
7654;Engineering;Analyze The RFQ;Analyze;RFQ;;
7655;Engineering;Produce L&M cost estimates;Produce;L&M cost estimates;Conjunctive clause;
7656;Supplier;Send the ordered materials;Send;materials;;
7657;Supplier;Process Payment;;Process Payment;;
7658;Supplier;Investigate the Problem;Investigate;Problem;;
7659;Supplier;Send reminder to customer;Send;reminder to customer;;
7660;Warehouse;Create Purchase Requisition;Create;Purchase Requisition;;
7661;Warehouse;Communicate with vendor;Communicate with;vendor;;
7662;Purhcasing;Consolidate PR's;Consolidate;PR;;
7663;Purhcasing;Select Suitable Vendor;Select;Suitable Vendor;;
7664;Purhcasing;Submit Purchase Order;Submit;Purchase Order;;
7665;Accounting;Verify the Documents;Verify;Documents;;
7666;Accounting;Submit the Payment;Submit;Payment;;
7667;Customer;Submit Purchase Order;Submit;Purchase Order;;
7668;Warehouse;Back order Missing Items;;Back order Missing Items;;
7669;Warehouse;Update Sales Order;;Update Sales Order;;
7670;Accounting;Process Payment;;Process Payment;;
7671;CSR;Send Mortgage Application Form;Send;Mortgage Application Form;;
7672;CSR;Review Application Form;;Review Application Form;;
7673;CSR;Send Reminder To Customer;Send;Reminder To Customer;;
7674;CSR;Inform Customer and Close Transaction;Inform;Customer|Close Transaction;Conjunctive clause;
7675;CSR;Send Reminder To customer;Send;Reminder To customer;;
7676;Mortgage specialist;Inform Customer of Rejection;Inform;Customer of Rejection;;
7677;Mortgage specialist;Archive Details;;Archive Details;;
7678;Supervisor;Expedite the Assessment;Expedite;Assessment;;
7679;Customer;Process Documents;;Process Documents;;
7680;Customer;Submit Insurance Claim;Submit;Insurance Claim;;
7681;Customer;Send the required info;Send;info;;
7682;CSR;Review Claim;;Review Claim;;
7683;CSR;Forward Claim to Claims Ajuster;;Forward Claim to Claims Ajuster;;
7684;CSR;Ask Customer For More Info;Ask;Customer For More Info;;
7685;Claim Ajuster;Decide to Accept or reject Claim;Decide;Claim;Disjunctive clause;
7686;Claim Ajuster;send claim to supervisor;send;claim to supervisor;;
7687;Claim Ajuster;Accept claim;Accept;claim;;
7688;Claim Ajuster;reject claim;reject;claim;;
7689;Claim Ajuster;send payment to customer;send;payment to customer;;
7690;Claim Ajuster;inform customer of reasons why rejected;inform;customer of reasons;;
7691;Supervisor;review claim;;review claim;;
7692;Customer;bring computer to acm;bring;computer to acm;;
7693;Customer;Evaluate repair estimates;Evaluate;repair estimates;;
7694;Customer;take computer back;take;computer;;
7695;Customer;authorize repair;authorize;repair;;
7696;Customer;pick up computer;pick up;computer;;
7697;Customer;pay for work done;pay for;work;;
7698;Customer;Customer describes problem with computer;describes;Customer|problem with computer;Starts with subject;
7699;Owner;Create cost estimate and time for repair;Create;cost estimate|time for repair;Conjunctive clause;
7700;Owner;assign technician for task;assign;technician for task;;
7701;Owner;inform customer computer is compeleted;inform;customer computer;;
7702;Owner;work on computer;work on;computer;;
7703;Owner;test computer;;test computer;;
7704;Owner;file report in a customer file;;file report in a customer file;;
7705;Owner;return computer and send documentation and provide invoice;return;computer|documentation|invoice;Conjunctive clause;
7706;Owner;inform customer;inform;customer;;
7707;Technician;repair computer;;repair computer;;
7708;Technician;ask bill to work on the computer;ask;bill|computer;;
7709;Technician;test computer;;test computer;;
7710;Technician;file a report in a customer file;file;report in a customer file;;
7711;Finance;Add overhead cost;Add;overhead cost;;
7712;Finance;generate pricing options;generate;pricing options;;
7713;Sales;send to customer;send to;customer;;
7714;Engineering;Produce labor and materials costs estimate;Produce;labor|materials costs estimate;Conjunctive clause;
7715;Data Entry;Sort Invoices;;Sort Invoices;;
7716;Data Entry;Entered into System;Entered into;System;;
7717;Data Entry;Place invoice in outbox;;Place invoice in outbox;;
7718;Admin Office;Empty Outbox;;Empty Outbox;;
7719;Ebay Seller;Determine item for auction;Determine;item for auction;;
7720;Ebay Seller;Place item up for auction;;Place item up for auction;;
7721;Ebay Seller;Set starting price of bid, reserve price & 'Buy it now' price of item for auction;Set starting;price of bid|reserve price|price of item|auction;Conjunctive clause;
7722;Ebay Seller;Determine payment method & shipping cost;Determine;payment method|shipping cost;Conjunctive clause;
7723;Ebay Seller;Await for winning bidder;Await for;bidder;;
7724;Ebay Seller;Set quantity;Set;quantity;;
7725;Ebay Seller;Arrange for delivery;Arrange for;delivery;;
7726;Ebay Seller;Send invoice to buyer;Send;invoice to buyer;;
7727;Ebay Seller;Item in the hands of courier company in transit;;Item in the hands|courier company in transit;;
7728;Ebay Seller;User Login;;User Login;;
7729;Ebay Buyer;Go to ebay site;Go to;ebay site;;
7730;Ebay Buyer;Search for item;Search for;item;;
7731;Ebay Buyer;Place bid;;Place bid;;
7732;Ebay Buyer;Select auction only;Select;auction;;
7733;Ebay Buyer;Bid Unsuccessful;;Bid;;
7734;Ebay Buyer;Select item;Select;item;;
7735;Ebay Buyer;Bid Successful;;Bid;;
7736;Ebay Buyer;Select payment method;Select;payment method;;
7737;Ebay Buyer;Sort By Option;;Sort By Option;;
7738;Ebay Buyer;User Login;;User Login;;
7739;Ebay Buyer;Enter bidding amount;Enter;bidding amount;;
7740;Ebay Buyer;Confirm Payment and Shipping Details;Confirm;Payment|Shipping Details;Conjunctive clause;
7741;Ebay Buyer;Item received;received;Item;Starts with subject;
7742;Ebay Buyer;Shipment of Item;;Shipment of Item;;
7743;Ebay Buyer;Item and seller rating and feedback;;Item|seller rating|feedback;Conjunctive clause;
7744;Ebay Buyer;Enter Payment Details;Enter;Payment Details;;
7745;Manager;Start Project;;Start Project;;
7746;Board;Request Approval;;Request Approval;;
7747;CEO;Request Approval;;Request Approval;;
7748;User Account Admin;Authenticate Login Details;Authenticate;Login Details;;
7749;User Account Admin;Query Database;;Query Database;;
7750;User Account Admin;Update user database;;Update user database;;
7751;Payment Department;Store Buyer's Payment Information;;Store Buyer|Payment Information;;
7752;Payment Department;Transfer Money to Seller's account;Transfer;Money to Seller|account;;
7753;Buyer;Authenticate Sign In Details;Authenticate;Sign In Details;;
7754;Buyer;Search for Used Book;Search for;Book;;
7755;Buyer;Enter Amazon's Site;Enter;Amazon|Site;;
7756;Buyer;View Results;;View Results;;
7757;Buyer;Select Book from result;Select;Book from result;;
7758;Buyer;Select Book;Select;Book;;
7759;Buyer;Add to Shopping Cart;Add to;Shopping Cart;;
7760;Buyer;Proceed to Checkout;Proceed to;Checkout;;
7761;Buyer;Enter Shipping Address;Enter;Shipping Address;;
7762;Buyer;Select Shipping Address;Select;Shipping Address;;
7763;Buyer;Verify Shipping details;Verify;Shipping details;;
7764;Buyer;Choose Shipping Options;Choose;Shipping Options;;
7765;Buyer;Receive an invoice;Receive;invoice;;
7766;Buyer;Receive the book;Receive;book;;
7767;Buyer;Leave Seller a feedback;Leave;Seller a feedback;;
7768;Buyer;Sign In;Sign;n;;
7769;Buyer;View book by format;;View book by format;;
7770;Buyer;View book by category;;View book by category;;
7771;Seller;Sign In to existing account;Sign;account;;
7772;Seller;Receive Order information;Receive;Order information;;
7773;Seller;Send shipping manifest to Shipping company;Send;shipping manifest to Shipping company;;
7774;Seller;Confirm Delivery & Pay for Shipping Charges;Confirm;Delivery|Pay for Shipping Charges;Conjunctive clause;
7775;Seller;Request Shipping Quotation;;Request Shipping Quotation;;
7776;Seller;Payment Received from Amazon;Received from;Payment|Amazon;Starts with subject;
7777;Seller;Leave Buyer Feedback;Leave;Buyer Feedback;;
7778;Shipping Company;Receive Shipping Manifest;Receive;Shipping Manifest;;
7779;Shipping Company;Send Shipping Quotation;Send;Shipping Quotation;;
7780;Shipping Company;Receive payment & proceed with shipping;Receive;payment|shipping;Conjunctive clause;
7781;Shipping Company;Book delivered;delivered;Book;Starts with subject;
7782;Amazon;Update user database;;Update user database;;
7783;Amazon;Store Buyer's Payment Information;;Store Buyer|Payment Information;;
7784;Amazon;Transfer Money to Seller's account;Transfer;Money to Seller|account;;
7785;Buyer;User select book for result;select;User|book for result;Starts with subject;
